layer,bucket_a,bucket_b,mean_a,mean_b,u_stat,p_value,effect_size
0,0-50,200+,0.91315746,0.93293905,881108178.5,0.0,0.19525917257955483
1,0-50,200+,0.9218056,0.9481922,717721904.0,0.0,0.34448444245970944
2,0-50,200+,0.9105139,0.9438883,607099783.0,0.0,0.44551873014058885
3,0-50,200+,0.8917045,0.92377096,729722697.5,0.0,0.33352378095803903
4,0-50,200+,0.8851895,0.9140225,720981492.5,0.0,0.34150736880343524
5,0-50,200+,0.85769856,0.9050783,677862523.0,0.0,0.38088913376675626
6,0-50,200+,0.8615643,0.90895754,660193734.0,0.0,0.3970265346289108
7,0-50,200+,0.83726966,0.8805487,642021852.5,0.0,0.4136234239904323
8,0-50,200+,0.83193743,0.875346,703848101.5,0.0,0.35715577564643
9,0-50,200+,0.8255886,0.8748378,648010111.5,0.0,0.4081541789873139
10,0-50,200+,0.8161742,0.8723648,604649706.5,0.0,0.44775645376858875
11,0-50,200+,0.80897564,0.8669031,647098795.0,0.0,0.40898650992254637
12,0-50,200+,0.80119103,0.860293,588181698.0,0.0,0.4627971481006037
13,0-50,200+,0.7697064,0.8586577,493473876.5,0.0,0.5492964594188197
14,0-50,200+,0.78730446,0.85310286,581490533.5,0.0,0.4689083764236719
15,0-50,200+,0.7687611,0.84118724,601592665.0,0.0,0.45054853556535146
16,0-50,200+,0.7380081,0.8346901,550045549.5,0.0,0.4976279628034761
17,0-50,200+,0.72697043,0.83258575,543953165.5,0.0,0.5031923080913266
18,0-50,200+,0.73317623,0.8303484,602454529.0,0.0,0.44976137098623636
19,0-50,200+,0.75823945,0.84734255,613755137.5,0.0,0.43944020809551587
20,0-50,200+,0.75200534,0.8516331,571797931.5,0.0,0.4777609018497959
21,0-50,200+,0.7497536,0.84991854,594990839.5,0.0,0.45657816807245166
22,0-50,200+,0.7668681,0.8516432,624636900.5,0.0,0.42950158855469955
23,0-50,200+,0.7704735,0.8539573,651067224.0,0.0,0.4053620323442585
0,0-50,50-100,0.91315746,0.92826563,294954149.5,2.9109135965725867e-190,0.1482311900669716
1,0-50,50-100,0.9218056,0.94281167,260614766.5,0.0,0.24739648555892213
2,0-50,50-100,0.9105139,0.93447983,248523228.5,0.0,0.28231443789144217
3,0-50,50-100,0.8917045,0.91374874,274843987.5,0.0,0.20630533068624235
4,0-50,50-100,0.8851895,0.903884,273567488.0,0.0,0.20999160688150265
5,0-50,50-100,0.85769856,0.8913727,264235455.5,0.0,0.23694065720086877
6,0-50,50-100,0.8615643,0.8978039,255601432.0,0.0,0.261873996616488
7,0-50,50-100,0.83726966,0.86153466,265863278.5,0.0,0.23223982874382887
8,0-50,50-100,0.83193743,0.8522785,291634810.5,2.1891901923380228e-215,0.15781677967331242
9,0-50,50-100,0.8255886,0.84786606,285083826.5,1.4063569697748909e-269,0.17673471608827473
10,0-50,50-100,0.8161742,0.84437144,274128042.5,0.0,0.20837283718398536
11,0-50,50-100,0.80897564,0.83637613,288140751.5,1.5755652606277034e-243,0.16790692582420008
12,0-50,50-100,0.80119103,0.82579833,286287710.5,3.6805515479560887e-259,0.17325813898733988
13,0-50,50-100,0.7697064,0.8229662,249929705.5,0.0,0.2782528125760534
14,0-50,50-100,0.78730446,0.81739134,277812319.5,0.0,0.19773337935274826
15,0-50,50-100,0.7687611,0.803013,275677263.0,0.0,0.20389899708427572
16,0-50,50-100,0.7380081,0.7939369,254007821.0,0.0,0.2664760276347572
17,0-50,50-100,0.72697043,0.79217917,244591465.5,0.0,0.29366858597556234
18,0-50,50-100,0.73317623,0.7817622,274010436.5,0.0,0.20871245987731168
19,0-50,50-100,0.75823945,0.80638003,269500511.0,0.0,0.221736226054304
20,0-50,50-100,0.75200534,0.8058753,258667056.0,0.0,0.2530210853738133
21,0-50,50-100,0.7497536,0.809164,257464436.5,0.0,0.25649401085071777
22,0-50,50-100,0.7668681,0.8149183,264707569.5,0.0,0.23557728604431982
23,0-50,50-100,0.7704735,0.8157262,278985477.5,0.0,0.19434553281721956
0,first,0-50,0.91164124,0.91315746,6020391.0,8.965323563306234e-33,0.2840283278033465
1,first,0-50,0.7531565,0.9218056,562118.0,0.0,0.9331504275333881
2,first,0-50,0.75804055,0.9105139,522509.0,0.0,0.9378609059664396
3,first,0-50,0.66859454,0.8917045,407542.0,0.0,0.9515332928990212
4,first,0-50,0.8817224,0.8851895,6588546.5,1.0204675298292834e-19,0.21646074898616907
5,first,0-50,0.58064383,0.85769856,576578.0,0.0,0.9314307800254499
6,first,0-50,0.54591256,0.8615643,499905.5,0.0,0.9405490147109541
7,first,0-50,0.82090086,0.83726966,6134151.0,6.986023256886396e-30,0.2704994826786542
8,first,0-50,0.94402546,0.83193743,16150040.5,0.0,-0.9206346403130092
9,first,0-50,0.9237374,0.8255886,15617250.5,1.325035479631656e-283,-0.8572728840367714
10,first,0-50,0.92741376,0.8161742,15937881.5,3.386709715144743e-309,-0.8954037484985788
11,first,0-50,0.90829164,0.80897564,15344803.5,9.88256531008017e-263,-0.8248722751436013
12,first,0-50,0.9144913,0.80119103,16016290.5,0.0,-0.9047284954868173
13,first,0-50,0.35401478,0.7697064,183558.0,0.0,0.9781704663027578
14,first,0-50,0.88763267,0.78730446,15152791.0,1.671209642378473e-248,-0.802037294706673
15,first,0-50,0.8765938,0.7687611,14622622.0,2.744150394758509e-211,-0.7389872394068049
16,first,0-50,0.4099777,0.7380081,271117.0,0.0,0.967757560621737
17,first,0-50,0.35401028,0.72697043,242664.0,0.0,0.971141317920725
18,first,0-50,0.8580186,0.73317623,13268246.0,5.148208750101353e-130,-0.577918822172274
19,first,0-50,0.87880087,0.75823945,13263076.0,9.636320926974218e-130,-0.5773039827797399
20,first,0-50,0.58371735,0.75200534,2310758.0,1.4944675273977693e-203,0.7251943820091096
21,first,0-50,0.7265684,0.7497536,6859990.0,1.0618675719447302e-14,0.1841794807758631
22,first,0-50,0.74441576,0.7668681,6236564.5,2.1307825095986544e-27,0.25832001379523584
23,first,0-50,0.875395,0.7704735,12308586.5,1.9961898733149504e-84,-0.46379184653989314
